group,component_type,failure_mode,failure_description
Valves,Air-Operated Valve (AOV),AOV-FTO,Air-Operated Valve Fails To Open
Valves,Air-Operated Valve (AOV),AOV-FTC,Air-Operated Valve Fails To Close
Valves,Air-Operated Valve (AOV),AOV-FTOC,Air-Operated Valve Fails To Open/Close
Valves,Air-Operated Valve (AOV),AOV-FC,Air-Operated Valve Fails To Control
Valves,Air-Operated Valve (AOV),AOV-SOP,Air-Operated Valve Spurious Operation
Valves,Air-Operated Valve (AOV),AOV-ILS,Air-Operated Valve Internal Leakage (Small)
Valves,Air-Operated Valve (AOV),AOV-ILL,Air-Operated Valve Internal Leakage (Rupture)
Valves,Air-Operated Valve (AOV),AOV-ELS,Air-Operated Valve External Leakage (Small)
Valves,Air-Operated Valve (AOV),AOV-ELL,Air-Operated Valve External Leakage (Rupture)
Valves,Air-Operated Valve (AOV),AOV-SOP-CCW,Component Cooling Water AOV Spurious Operation
Valves,Air-Operated Valve (AOV),AOV-SOP-IAS,Instrument Air System AOV Spurious Operation
Valves,Motor-Operated Valve (MOV),MOV-FTO,Motor-Operated Valve Fails To Open
Valves,Motor-Operated Valve (MOV),MOV-FTC,Motor-Operated Valve Fails To Close
Valves,Motor-Operated Valve (MOV),MOV-FTOC,Motor-Operated Valve Fails To Open/Close
Valves,Motor-Operated Valve (MOV),MOV-FC,Motor-Operated Feed Control Valve Fails To Control
Valves,Motor-Operated Valve (MOV),MOV-SOP,Motor-Operated Valve Spurious Operation
Valves,Motor-Operated Valve (MOV),MOV-ILS,Motor-Operated Valve Internal Leakage (Small)
Valves,Motor-Operated Valve (MOV),MOV-ILL,Motor-Operated Valve Internal Leakage (Rupture)
Valves,Motor-Operated Valve (MOV),MOV-ELS,Motor-Operated Valve External Leakage (Small)
Valves,Motor-Operated Valve (MOV),MOV-ELL,Motor-Operated Valve External Leakage (Rupture)
Valves,Motor-Operated Valve (MOV),MOV-FTO-BFV,Butterfly Valve Fails To Open
